UserID,SpID,prev_SpID,sequenceNo,Long,Lat,ArriveTime,leaveTime,date,time
0,0,-1,0,116.29850695238098,39.984098285714275,39744.1276041667,39744.1723032407,2008-10-23,03:03:45
0,1,0,0,116.32437467857144,39.99982871428572,39744.1894907407,39744.4044560185,2008-10-23,04:32:52
0,2,1,0,116.32100751612903,40.00863677419353,39744.4061342593,39744.4231018518,2008-10-23,09:44:50
0,3,2,0,116.31925744512189,40.00772890243903,39744.4231018518,39744.4384259259,2008-10-23,10:09:16
0,4,3,0,116.3219334074074,40.008817518518526,39744.4384259259,39744.4475810185,2008-10-23,10:31:20
0,5,4,0,116.32205765517239,40.00888606896553,39744.4475810185,39744.4657638889,2008-10-23,10:44:31
0,6,-1,1,116.32117962499996,40.00863948611108,39745.0902662037,39745.098599537,2008-10-24,02:09:59
0,7,-1,4,116.29692986597941,40.011513065292114,39749.0266898148,39749.0500115741,2008-10-28,00:38:26
0,8,7,4,116.29650808045979,40.00962713793104,39749.0500115741,39749.0577662037,2008-10-28,01:12:01
0,9,8,4,116.29633465284971,40.0068887150259,39749.0611805556,39749.0713657407,2008-10-28,01:28:06
0,10,9,4,116.29672442666663,40.00895105333331,39749.0713657407,39749.0798148148,2008-10-28,01:42:46
0,11,10,4,116.29664122388057,40.00711443283582,39749.0798148148,39749.087974537,2008-10-28,01:54:56
0,12,11,4,116.29722387431684,40.01084850819673,39749.0901157407,39749.1001273148,2008-10-28,02:09:46
0,13,12,4,116.32367365000002,39.99987125,39749.1222337963,39749.2104398148,2008-10-28,02:56:01
0,14,-1,8,116.31255594,40.004528679999986,39755.9792592593,39755.9878240741,2008-11-03,23:30:08
0,15,14,8,116.29689769063175,40.01120156644881,39756.0061689815,39756.0511921296,2008-11-04,00:08:53
0,16,15,8,116.29698297499999,40.00669002499999,39756.0538541667,39756.0628240741,2008-11-04,01:17:33
0,17,16,8,116.29597653642382,40.00697744370863,39756.0678009259,39756.0800115741,2008-11-04,01:37:38
0,18,17,8,116.29698803571425,40.00857170535714,39756.0800115741,39756.0878819444,2008-11-04,01:55:13
0,19,18,8,116.2967819112904,40.00687529032256,39756.0878819444,39756.1059375,2008-11-04,02:06:33
0,20,19,8,116.29707692647064,40.01094084558826,39756.1083101852,39756.1234143519,2008-11-04,02:35:58
0,21,-1,9,116.33212641666665,39.974339750000006,39762.0776273148,39762.1445833333,2008-11-10,01:51:47
0,22,-1,10,116.29682728086415,40.01130110185187,39763.0118518519,39763.0374305556,2008-11-11,00:17:04
0,23,22,10,116.29645730666674,40.00845648888892,39763.0481365741,39763.0608101852,2008-11-11,01:09:19
0,24,23,10,116.29670426582285,40.01113832911394,39763.0784027778,39763.0874884259,2008-11-11,01:52:54
0,25,-1,11,116.32487642574253,39.999714821782156,39764.1108564815,39764.122974537,2008-11-12,02:39:38
0,26,25,11,116.32595766666668,39.999036999999994,39764.1238425926,39764.1478819444,2008-11-12,02:58:20
0,27,26,11,116.32205787407403,40.0088164888889,39764.1520023148,39764.1593518518,2008-11-12,03:38:53
0,28,27,11,116.3200555625,40.00951,39764.1593518518,39764.182662037,2008-11-12,03:49:28
0,29,28,11,116.32341609090909,40.001340454545456,39764.1894907407,39764.1973263889,2008-11-12,04:32:52
0,30,29,11,116.32133068595037,40.00890790909091,39764.2029976852,39764.2137615741,2008-11-12,04:52:19
0,31,-1,13,116.3204658181818,40.00837894318181,39765.157037037,39765.2844791667,2008-11-13,03:46:08
0,32,31,13,116.3157925,39.988989000000004,39765.2861574074,39765.3168287037,2008-11-13,06:52:04
0,33,32,13,116.3164196153846,39.95872138461538,39765.3321643519,39765.3463773148,2008-11-13,07:58:19
0,34,33,13,116.32051999999999,39.9812745,39765.3463773148,39765.4605208333,2008-11-13,08:18:47
0,35,34,13,116.3243502,40.0000532,39765.4627777778,39765.5790046296,2008-11-13,11:06:24
0,36,-1,14,116.32368163636364,39.99994000000001,39766.0830439815,39766.1621527778,2008-11-14,01:59:35
0,37,36,14,116.32114806122455,40.009081367346944,39766.1675347222,39766.1995833333,2008-11-14,04:01:15
0,38,37,14,116.32034217391302,40.00738482608695,39766.2020138889,39766.2944212963,2008-11-14,04:50:54
0,39,-1,15,116.32165248484849,40.00874581818182,39766.4303356481,39766.4384953704,2008-11-14,10:19:41
0,40,39,15,116.3213171190476,40.00900923809523,39766.4384953704,39766.4701851852,2008-11-14,10:31:26
0,41,40,15,116.32151307792212,40.00890293506491,39766.4712847222,39766.6777777778,2008-11-14,11:18:39
0,42,-1,16,116.3245516551724,40.0004111724138,39767.0476041667,39767.1463541667,2008-11-15,01:08:33
0,43,42,16,116.31978533333333,40.009054444444445,39767.1500462963,39767.166724537,2008-11-15,03:36:04
0,44,-1,21,116.32227925000001,40.01037625,39770.4125,39770.4543518518,2008-11-18,09:54:00
0,45,44,21,116.32648621052631,39.99435886842106,39770.4637847222,39770.483287037,2008-11-18,11:07:51
0,46,45,21,116.328802,39.99069633333333,39770.4845023148,39770.4916203704,2008-11-18,11:37:41
0,47,-1,24,116.320722375,40.010378125,39771.4813657407,39771.5577083333,2008-11-19,11:33:10
0,48,-1,28,116.31978387499998,40.009768166666674,39774.0623726852,39774.0723842593,2008-11-22,01:29:49
0,49,48,28,116.32447104761907,40.000527999999996,39774.0793865741,39774.2028819444,2008-11-22,01:54:19
0,50,49,28,116.3229604230769,40.00852415384615,39774.2028819444,39774.2353356481,2008-11-22,04:52:09
0,51,50,28,116.32442283333334,39.996184666666664,39774.2353356481,39774.2436921296,2008-11-22,05:38:53
0,52,-1,32,116.32428633333332,40.00312566666667,39784.3055671296,39784.4524189815,2008-12-02,07:20:01
0,53,52,32,116.32129333333334,40.00806733333333,39784.4524189815,39784.6746296296,2008-12-02,10:51:29
0,54,-1,34,116.32074747058822,40.009058764705884,39785.6448611111,39785.6619212963,2008-12-03,15:28:36
0,55,-1,36,116.32344640000001,40.00050465,39792.1109143518,39792.3298842593,2008-12-10,02:39:43
0,56,-1,39,116.32226022222224,39.99982866666667,39794.1973958333,39794.2629513889,2008-12-12,04:44:15
0,57,-1,42,116.31988504166674,40.00772125,39902.0449421296,39902.1580092593,2009-03-30,01:04:43
0,58,57,42,116.3275995,40.0056335,39902.1688310185,39902.2208333333,2009-03-30,04:03:07
0,59,58,42,116.3152886556291,40.00970317880793,39902.2258101852,39902.2357638889,2009-03-30,05:25:10
0,60,59,42,116.3270921818182,40.00000081818182,39902.2403935185,39902.2518518518,2009-03-30,05:46:10
