"V1";"V2"
"1";"Friday"
"2";"Saturday"
"3,4,5,6,4,7";"Sunday"
"8";"Wednesday"
"4,9,4,10,11,12";"Thursday"
"13,4,14,15,16";"Saturday"
"4,17";"Monday"
"18,19,20,4,19,21,22";"Tuesday"
"23,24,25,4,26,27";"Thursday"
"28,29";"Friday"
"30,31,4,32,33,34,4";"Sunday"
"4,4,35,4,36";"Tuesday"
"37,4,38";"Wednesday"
"39,40";"Thursday"
"41,42,43";"Thursday"
"4,44";"Saturday"
"45,4,4,46";"Tuesday"
"47,4,4";"Friday"
"4,48";"Sunday"
"49,4,50,51";"Sunday"
"34,4,36,4";"Monday"
"4,4,52,53";"Wednesday"
"4,54,55";"Friday"
"56,57";"Saturday"
"58,59,60";"Sunday"
"4,61,62,63,64,65,66,67,68,69,4,70,71";"Monday"
"72,73,74,4,75";"Thursday"
"76,4";"Friday"
"77,78";"Saturday"
"4";"Sunday"
"79,80";"Monday"
"62,4,81,4";"Tuesday"
"53,4,82";"Wednesday"
"46,83,84,85";"Thursday"
"4,42,4,4,86,87,88,4";"Friday"
"89";"Wednesday"
"90";"Wednesday"
"91,13,92";"Thursday"
"93,4";"Wednesday"
"4,32,94";"Thursday"
"4,4,4,95";"Monday"
"4,30,4";"Wednesday"
"96,4,4,4,97,98";"Wednesday"
"4";"Saturday"
"4,4";"Monday"
"96,99,4,100";"Monday"
"4";"Tuesday"
"4";"Wednesday"
"101,50,4,102";"Thursday"
"4,4,42,103,4";"Thursday"
"104,105,106";"Saturday"
"107";"Sunday"
"79";"Monday"
"108,109";"Monday"
"4,110,4";"Friday"
"111,112,4,113";"Saturday"
"114,115,116,117";"Sunday"
"4,118";"Monday"
"119,120,121,122,4";"Tuesday"
"4,4,123";"Friday"
"124,4,125,126,4,78";"Saturday"
"127,128";"Monday"
"112";"Tuesday"
"129";"Wednesday"
"4,130,4,131,4,132,4,133,4,134";"Thursday"
"4,135,136";"Saturday"
"4,32";"Sunday"
"4";"Monday"
"4,4";"Tuesday"
"137,138";"Wednesday"
"4";"Thursday"
"139,4,4";"Friday"
"140,141";"Saturday"
"142,4,143,144,145,4";"Saturday"
"4,146,147,78,4,148,149,150,151,4";"Wednesday"
"4,78,152";"Saturday"
"4,4,4,4,153";"Monday"
"154,155,156";"Wednesday"
"4,4,4,4,157,158";"Thursday"
"4,159,4,160,4";"Friday"
"161,162";"Sunday"
"4,163,78,164,4";"Monday"
"165,4,166,4,4,167,168,169";"Wednesday"
"169,170,171,172,173";"Saturday"
"174,175,176";"Sunday"
"4,177,178";"Monday"
"16,179,180,181,16";"Monday"
"4,4,4,4,4,11,4,167,4";"Wednesday"
"4";"Saturday"
"4,182,183";"Sunday"
"4,167,4";"Monday"
"184,4,4";"Monday"
"185,186,4,187,4";"Wednesday"
"167,4,50,4";"Thursday"
"188,4";"Saturday"
"189,190,191";"Sunday"
"192,4,4,4";"Sunday"
"193,4";"Tuesday"
"159,46,194,4,195";"Wednesday"
"4,176";"Thursday"
"4,196,197,198,4,4";"Friday"
"4,4,4,4,199,200,201,202,4";"Saturday"
"203,4,204";"Sunday"
"205,4,4,4,4,206";"Monday"
"207,208";"Thursday"
"209,210,211,212,4,213,214";"Friday"
"4,215,216,217";"Sunday"
"4,4,218,18,159";"Monday"
"219,214,4,220";"Tuesday"
"4,221,4";"Friday"
"161,222,144";"Saturday"
"223,12,4";"Monday"
"4,224,225,4,226,4,227";"Tuesday"
"4,153,228,21,96,4";"Wednesday"
"4,78,229";"Friday"
"4,230,231";"Sunday"
"4,78,232,4,34,233,234,4,4,235,4";"Monday"
"236,237,12,4,238";"Wednesday"
"4,46";"Saturday"
"4,239,240";"Monday"
"241,96,242,243,4,4,4,4,244,4,245";"Tuesday"
"161";"Friday"
"176,246,161";"Saturday"
"4,4,247,4";"Monday"
"94,4";"Tuesday"
"248";"Tuesday"
"4,249,250,4";"Wednesday"
"4,4";"Thursday"
"4,251,4,252";"Friday"
"253,120,254";"Saturday"
"255";"Sunday"
"89,256";"Monday"
"94,4,257,4,78";"Tuesday"
"4,18";"Thursday"
"4,258";"Friday"
"259,260";"Saturday"
"4,261";"Monday"
"4,4,232";"Tuesday"
"4,78,262,4";"Wednesday"
"263,243";"Thursday"
"4,264,4,78,265,266";"Friday"
"13,267,268,4,269,270,4,4,271";"Sunday"
"272";"Thursday"
"252,233,34,4,273,274,239,275,276,4";"Thursday"
"277,4,4,121,4,278";"Monday"
"4,279,257,280,4,281,282,26";"Tuesday"
"283,284,285,286";"Friday"
"4,287,288,289,4,290,291";"Saturday"
"292,78";"Monday"
"284,50,293,4,294";"Tuesday"
"295,296,220,4,4,177";"Wednesday"
"297,298,299,300";"Saturday"
"144,301";"Sunday"
"302,4,303,304,4,78,4";"Monday"
"4,4,4,32,4,305,306,307";"Wednesday"
"4,308,4";"Saturday"
"4,174,152,309,4";"Sunday"
"101,198,310";"Monday"
"4,4";"Tuesday"
"4,4,4";"Thursday"
"311,312,4,313,4";"Friday"
"211,314,4";"Saturday"
"315,316,317,169";"Sunday"
"4";"Monday"
"4,318";"Tuesday"
