"V1";"V2"
"13";"Friday"
"306";"Monday"
"307,308,309,310";"Tuesday"
"4,311,54";"Friday"
"312,313";"Sunday"
"314,4,315,316";"Monday"
"4,317,318,319,320,4";"Friday"
"321,4,322,323,4,4,258,54";"Sunday"
"4";"Sunday"
"4,324,4";"Tuesday"
"4,325,75,326,327";"Thursday"
"4,4,328";"Wednesday"
"4,4";"Tuesday"
"4,329,330,331,4,34,332";"Wednesday"
"4";"Saturday"
"4";"Sunday"
"333,34,334";"Monday"
"335,336,337";"Friday"
"338";"Friday"
"339";"Sunday"
"4,340,231";"Tuesday"
"341,4,342";"Friday"
"4,4,4,343,344,345,346";"Sunday"
"4,347";"Tuesday"
"348,4,349,350,351,352,353,354,355,356,4";"Thursday"
"357,358,356";"Wednesday"
"4,91,147,359,360";"Thursday"
"86,4,75";"Sunday"
"4,361,362,4,4";"Friday"
"157,4,75,363,364,365,4,366";"Tuesday"
"4";"Friday"
"367,368,369,4,356,4";"Sunday"
"4,370";"Tuesday"
"371,4,372";"Friday"
"4,4,373,341,4";"Monday"
"374";"Wednesday"
"375,376,377,4,378,379";"Friday"
"380,159,241,159,4,381,382,4";"Thursday"
"383,384,4,136,91,4,234,4,385,4,4,4";"Thursday"
"386,387,386,388,4,389,389,390,391";"Sunday"
"392,34,4,393,394,395,4,4";"Saturday"
"197,4,396,397,74";"Tuesday"
"4,4,398,161";"Thursday"
"399,400,401,4,186,4";"Sunday"
"4,402";"Thursday"
"4,4";"Saturday"
"4,4";"Tuesday"
"403";"Thursday"
"4,4,404";"Sunday"
"405";"Wednesday"
"406,407";"Wednesday"
"408,4,75,276,409,4,18,410,4";"Friday"
"4,411,412,4,413";"Wednesday"
"16,161,4";"Sunday"
"4,414";"Saturday"
"4";"Monday"
"4,90,4,415";"Tuesday"
"4,4,4,4";"Wednesday"
"257,416,417";"Saturday"
"418,419";"Sunday"
"420,4";"Tuesday"
"421,422,423";"Thursday"
"424,425,4,426,4,4,427";"Sunday"
"4";"Thursday"
"75,271,428,4,294,13,429,430,431,432,4";"Friday"
"433,4,4";"Tuesday"
"258,434,435";"Thursday"
"4,436,437,371,438,439";"Friday"
